ID,node1,node2,blocked
0,Chinatown,EkoCheras,False
1,Minden,Mont Kiara,False
2,Bukit Jalil Stadium,Taman Desa,False
3,IKEA Damansara,One Utama,False
4,Desa ParkCity,The Curve,False
5,Chinatown,Pasar Seni,False
6,Ampang Park,The Intermark,False
7,National Mosque,Pasar Seni,False
8,Mid Valley,Mont Kiara,False
9,Bangsar South,Taman Desa,False
10,MyTown,Royal Selangor Golf,False
11,Bukit Damansara,Damansara,False
12,Cheras Leisure Mall,EkoCheras,False
13,Damansara,Istana Negara,False
14,KL Tower,Masjid Jamek,False
15,Aquaria KLCC,KLCC,False
16,Berjaya Times Square,Bukit Bintang,False
17,Saloma Link,The Intermark,False
18,Brickfields,Thean Hou Temple,False
19,Desa ParkCity,Kepong Park,True
20,Bangsar,Istana Negara,False
21,Bukit Damansara,Minden,False
22,Ampang Park,KLCC,False
23,IKEA Damansara,The Curve,False
24,Mid Valley,Thean Hou Temple,False
25,Sunway Putra,Titiwangsa,False
26,Mont Kiara,Solaris,False
27,Bukit Bintang,Pavilion,False
28,Batu Caves,Kepong Park,True
29,KLCC,Taman Desa,False
30,Pudu,TRX,False
31,Merdeka,MyTown,False
32,Central Market,Chinatown,False
33,Bangsar,Mid Valley,False
34,Brickfields,Perdana Botanical,False
35,KL Bird Park,Muzium Negara,False
36,Royal Selangor Golf,TRX,False
37,Batu Caves,Titiwangsa Lake,True
38,KL Sentral,Muzium Negara,False
39,Central Market,Dataran Merdeka,False
40,Dataran Merdeka,Masjid Jamek,False
41,Berjaya Times Square,Pudu,False
42,Publika,Sunway Putra,False
43,Bukit Jalil Stadium,Taman Connaught,False
44,Merdeka,Perdana Botanical,False
45,Titiwangsa,Titiwangsa Lake,False
46,KL Bird Park,National Mosque,False
47,Aquaria KLCC,KL Tower,False
48,Bangsar South,One Utama,False
49,Publika,Solaris,False
50,Pavilion,Saloma Link,False
51,Cheras Leisure Mall,Taman Connaught,False
